"group","local_alignment_confidence","local_alignment_all","global_alignment_confidence","tokens","types","vowels","token_diff","type_diff","vowel_diff","token_ratio","type_ratio","vowel_ratio","cosine_word_set","self_rr","self_l","self_entr","align_rr","align_l","align_entr","synergy_rr","synergy_l","synergy_entr"
1,0.0847457627118644,0.0899280575539568,0.433333333333333,842,220,126,6,14,10,1.01435406698565,1.13592233009709,1.17241379310345,0.519234226746987,1.12508234462523,3.43494965022663,1.32728232801292,0.984363155313108,2.80545343137255,1.17613597179563,1.05242134623148,3.11677692707946,1.26066643671577
2,0.162162162162162,0.124231242312423,0.368421052631579,818,250,183,78,36,9,1.21081081081081,1.33644859813084,1.10344827586207,0.517392425437916,0.944486187083653,3.7990869525116,1.47070205351801,0.819900962004924,3.00435203094778,1.36239666682095,0.869795698360504,3.40615169521146,1.43499510174566
3,0.316326530612245,0.0990220048899755,0.504950495049505,829,271,152,299,71,54,2.12830188679245,1.71,2.10204081632653,0.527656187902292,0.793157812719386,3.56800549982728,1.09931933373421,0.690788112164579,2.55123911587408,0.994703538548728,0.743599011117697,2.97840924919905,1.04442287793062
4,0.102040816326531,0.100719424460432,0.254901960784314,557,222,106,21,10,10,1.07835820895522,1.09433962264151,1.20833333333333,0.486980793027958,0.917356432507846,3.78784824767706,1.1124363460554,0.747691129791205,2.65125495376486,1.06545561355419,0.827621631378878,3.25217391304348,1.11059067101783
5,0.2,0.0508474576271186,0.448275862068966,535,271,108,115,51,32,1.54761904761905,1.46363636363636,1.84210526315789,0.360688218501182,0.831430159633001,3.90173886338485,1.15039088513257,0.625901661041625,2.53897180762852,0.976301798035765,0.704709648367139,3.29244948599787,1.09738704844931
6,0.0638297872340425,0.0890688259109312,0.375,744,232,116,56,6,6,1.16279069767442,1.05309734513274,1.10909090909091,0.569155888072409,0.972781965903389,3.30788058676258,1.10674865783587,0.876279593344356,2.61563169164882,1.0231395932523,0.933874208823275,2.9845554834523,1.08402578096367
7,0.0789473684210526,0.0677685950413223,0.292682926829268,616,234,85,20,16,9,1.06711409395973,1.14678899082569,1.23684210526316,0.496889406778618,0.878651082345161,3.62909549938173,1.23726581906653,0.695417923339422,2.6857654431513,1.09128553260552,0.789658136613106,3.19506771780877,1.17550012464246
8,0.159420289855072,0.0637037037037037,0.328571428571429,677,250,110,15,6,12,1.04531722054381,1.04918032786885,1.24489795918367,0.536154434719002,0.906758017534842,3.87186166667616,1.44521694901678,0.746131778880186,2.79480519480519,1.20817281587255,0.827771908577907,3.34792955735364,1.35253257686057
9,0.169491525423729,0.094,0.442622950819672,1012,332,156,130,24,32,1.29478458049887,1.15584415584416,1.51612903225806,0.489231776278652,0.85652608729312,3.17808463714504,1.07241578555783,0.773612199795327,2.5217654171705,0.920022841035745,0.819364381559837,2.84105676544091,0.993526356955668
