"","model","Estimate","Lower 95%","Upper 95%"
"1","self_entr",0.0204,-0.0057,0.0461
"2","self_l",0.0187,-0.0121,0.0434
"3","synergy_entr",0.0185,-0.0081,0.0459
"4","align_entr",0.0159,-0.012,0.0444
"5","conf_align_local",0.0149,-0.0131,0.044
"6","synergy_l",0.014,-0.0108,0.0431
"7","align_l",0.0132,-0.0157,0.0423
"8","conf_align_global",0.0131,-0.0176,0.0397
"9","type_diff",0.0127,-0.0161,0.0422
"10","cosine",-0.0018,-0.0331,0.0264
"11","indiscriminate_align_local",-0.0059,-0.0368,0.023
